xCell2_labels	all_labels	ont
smooth muscle cell	Smooth muscle;Smooth Muscle Cells	CL:0000192
basophil	"Basophils;Basophils;Basophils LD"	CL:0000767
dendritic cell	DC;DCs;Dendritic_cells;Dendritic Cell;Dendritic cell	CL:0000451
eosinophil	"Eosinophils;Eosinophils;Eosinophil"	CL:0000771
macrophage	Macrophages;Macrophages M0;Macrophage	CL:0000235
mast cell	Mast cells;Mast_cells;Mast cell	CL:0000097
monocyte	"Monocytes;Monocytes;Monocyte"	CL:0000576
neutrophil	"Neutrophils;Neutrophils;Neutrophil"	CL:0000775
muscle cell	Myocytes;Muscle_cells	CL:0000187
intermediate monocyte	Monocytes I	CL:0002393
non-classical monocyte	Monocytes NC;Non_classical_monocytes;Monocytes, CD16+;CD16+ monocytes	CL:0000875
osteoblast	Osteoblast	CL:0000062
professional antigen presenting cell	APC	CL:0000145
Alveolar cells	Alveolar_cells	NA
classical monocyte	Classical monocytes;Classical_monocytes;Monocytes C;CD16- monocytes	CL:0000860
Cytotoxic NK cells	Cytotoxic NK cells;Cytotoxic_NK_cells	NA
T follicular helper cell	Follicular T-helper;Follicular_T_helper;Follicular_T_helpers;Tfh;Follicular-T-helper;T cells follicular helper	CL:0002038
GSM	GSM	NA
granulocyte	Granulocytes;Granulocytes LD;Granulocyte	CL:0000094
lymphocyte	"Lymphocytes;Lymphoid_cells;Lymphoid"	CL:0000542
mucosal invariant T cell	MAIT;MAIT cells	CL:0000940
myeloid suppressor cell	MDSC	CL:0000889
myeloid cell	Myeloid;Myeloid_cells;Myeloid-cells	CL:0000763
Myeloid Phagocytes	Myeloid Phagocytes	NA
myofibroblast cell	Myofibroblasts	CL:0000186
oligodendrocyte	Oligodendrocytes;Oligodendrocytes	CL:0000128
phagocyte	Phagocytes	CL:0000234
naive T cell	T Naive;T.Naive	CL:0000898
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"	CD8+ TEMRA;TEMRA_CD8_T_cells	CL:0001062
T-helpers TEMRA	T-helpers TEMRA;TEMRA_T_helpers	NA
T cell	T-cells;T_cells;T cells;T.cells	CL:0000084
helper T cell	T-helpers;T_helpers;Th	CL:0000912
malignant cell	Tumor KI67+;Cancer cells;hct116;Tumor;tumor;cancer-cells;cancer_cells;Kidney Cancer Cell;Endometrial Cancer Cell;Bladder Cancer Cell;Pancreatic Cancer Cell;Esophageal Cancer Cell;Breast Cancer Cell;Lung Cancer Cell;Digestive Tract Cancer Cell;Prostate Cancer Cell;Brain Cancer;Neuroblastoma;Bone Cancer Cell;Soft Tissue Cancer Cell;Skin Cancer Cell;Sarcoma;Gastric Cancer Cell;Ovarian Cancer Cell;Colon/Colorectal Cancer Cell;Liver Cancer Cell;Bile Duct Cancer Cell;Brain Cancer Cell	CL:0001064
Exhausted CD8+ T cells	Exhausted CD8+ T cells	NA
blood cell	Blood_Cell;Blood Cell	CL:0000081
stromal cell	Stromal Cell	CL:0000499
Cancer Associated Fibroblasts	Cancer Associated Fibroblasts;CAFs	NA
biliary cell	Billiary Cell	NA
Terminally differentiated effector CD4+ T cells	Terminally differentiated effector CD4+ T cells	NA
glial cell	Glial Cells	CL:0000125
myeloid dendritic cell	mDCs	CL:0000782
effector CD4-positive, alpha-beta T cell	effector CD4+ T cells	CL:0001044
effector CD8-positive, alpha-beta T cell	effector CD8+ T cells	CL:0001050
mature NK T cell	NKT	CL:0000814
